R_Abundance (%)	Reads	superfamily	phylum	class	order	family	genus	species
0.002	168	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Rugamonas	Rugamonas rubra
0.001	54	Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysoporthe	Chrysoporthe deuterocubensis
0.001	60	Bacteria	Proteobacteria	Hydrogenophilalia	Hydrogenophilales	Hydrogenophilaceae	Tepidiphilus	Tepidiphilus thermophilus
0.001	82	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium cochliodes
0.002	150	Eukaryota	Mucoromycota	-	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar
0.001	52	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Tardiphaga	Tardiphaga robiniae
0.001	52	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides psychrotolerans
0.001	52	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas kuykendallii
0.001	126	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia namucuonensis
0.001	120	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Friedmanniella	Friedmanniella flava
0.002	210	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Periglandula	Periglandula ipomoeae
0.002	212	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale
0.001	62	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides lianchengensis
0.001	90	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus soli
0.013999999999999999	1388	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luchuensis
0.001	66	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus nigrescens
0.001	80	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	-	Tepidimonas	Tepidimonas fonticaldi
0.001	106	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum gamsii
0.002	172	Eukaryota	Ascomycota	-	-	-	Taxomyces	Taxomyces andreanae
0.001	56	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	Rubellimicrobium mesophilum
0.001	70	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora microellipsoides
0.001	78	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus siccatus
0.001	72	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus africanus
0.001	124	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	-	Ustilaginoidea	Ustilaginoidea virens
0.002	192	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia yuzhufengensis
0.001	54	Eukaryota	Chromerida	-	-	-	Vitrella	Vitrella brassicaformis
0.001	70	Eukaryota	-	Spirotrichea	Sporadotrichida	Oxytrichidae	Oxytricha	Oxytricha trifallax
