R_Abundance (%)	Reads	superfamily	phylum	class	order	family	genus	species
0.01	1372	Eukaryota	Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus monodon
0.001	124	Eukaryota	Arthropoda	Merostomata	Xiphosura	Limulidae	Limulus	Limulus polyphemus
0.003	442	Eukaryota	Arthropoda	Arachnida	Araneae	Nephilidae	Nephila	Nephila clavipes
0.002	206	Eukaryota	Arthropoda	Arachnida	Araneae	Sicariidae	Loxosceles	Loxosceles reclusa
0.001	148	Eukaryota	Arthropoda	Arachnida	Ixodida	Ixodidae	Rhipicephalus	Rhipicephalus microplus
0.001	188	Eukaryota	Arthropoda	Arachnida	Ixodida	Ixodidae	Ixodes	Ixodes scapularis
0.004	482	Eukaryota	Arthropoda	Insecta	Blattodea	Ectobiidae	Blattella	Blattella germanica
0.008	1046	Eukaryota	Arthropoda	Insecta	Orthoptera	Acrididae	Locusta	Locusta migratoria
0.071	9758	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
0.001	72	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces paradoxus
0.003	466	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces pastorianus
0.001	104	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter xylinus
48.257	6587808	Eukaryota	Streptophyta	-	Vitales	Vitaceae	Vitis	Vitis vinifera
0.018000000000000002	2516	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora uvarum
0.001	114	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium barkeri
0.002	234	Eukaryota	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe pisi
